ID	Номер участника	Имя	Дата создания	Дата рождения	Пол	Город
1	9700929678075942	Карина Ивановна Виноградова	13.02.2021 2:32	08.09.2001	Жен	Минск
87	9465776802285679	Михаил Александрович Морозов	23.02.2021 8:53	17.10.2004	Муж	Минск
2	8001196916005985	Леонид Олегович Макаров	13.02.2021 4:00	11.06.1987	Муж	Могилев
3	3307009764487110	Светлана Ивановна Соловьёва	13.02.2021 10:47	12.12.1938	Жен	Барановичи
137	6976947879206497	Алевтина Владимировна Гусева	01.03.2021 1:04	08.01.1985	Жен	Минск
4	3067704260077703	Борис Аркадьевич Михайлов	13.02.2021 15:49	04.05.2002	Муж	Минск
5	5015218404713981	Герман Васильевич Комаров	13.02.2021 16:54	03.01.1984	Муж	Витебск
110	6999203340735244	Николай Михаилович Ковалёв	26.02.2021 6:49	18.11.1983	Муж	Гродно
6	9071398604209774	Валентина Эдуардовна Смирнова	13.02.2021 19:54	05.08.1980	Жен	Гомель
7	2602543239861704	Владимир Вячеславович Васильев	13.02.2021 20:53	31.01.1978	Муж	Минск
90	2214389117267651	Алевтина Валентиновна Васильева	23.02.2021 20:16	13.05.1991	Жен	Минск
8	4618436945788970	Юлия Григорьевна Ковалёва	13.02.2021 22:20	18.08.1951	Жен	Минск
9	1803630528169758	Клавдия Павловна Макарова	14.02.2021 1:50	31.01.1992	Жен	Витебск
52	6073937208261567	Владимир Львович Павлов	18.02.2021 17:40	26.12.1936	Муж	Брест
10	3482244926274100	Раиса Станиславовна Кузьмина	14.02.2021 5:10	17.01.1961	Жен	Витебск
11	7673896040602647	Георгий Григорьевич Куликов	14.02.2021 5:56	04.03.1998	Муж	Минск
33	7931832605429096	Игорь Юрьевич Михайлов	16.02.2021 14:26	10.09.1993	Муж	Брест
12	5786456161390484	Геннадий Владиславович Зайцев	14.02.2021 6:33	17.04.2000	Муж	Минск
13	9972127125980427	Любовь Михаиловна Павлова	14.02.2021 9:54	15.10.1994	Жен	Гродно
75	9912744757399204	Сергей Александрович Семёнов	22.02.2021 3:31	15.08.2003	Муж	Могилев
14	3896849148691249	Паулина Павловна Андреева	14.02.2021 14:48	26.12.1975	Жен	Минск
15	4886003658216453	Олег Леонидович Смирнов	14.02.2021 16:00	02.01.1997	Муж	Минск
16	1765434662144866	Вера Романовна Макарова	14.02.2021 17:17	23.01.1941	Жен	Минск
60	9651312551300385	Владимир Геннадьевич Ковалёв	19.02.2021 23:13	24.12.1979	Муж	Минск
17	1202582357180167	Владимир Васильевич Богданов	14.02.2021 17:53	17.12.1992	Муж	Минск
18	8110726717796482	Александр Романович Белов	14.02.2021 18:57	18.05.1990	Муж	Минск
19	9412330286527084	Ираида Львовна Павлова	14.02.2021 21:26	30.09.1982	Жен	Минск
114	9547701344970012	Елена Андреевна Виноградова	26.02.2021 22:02	02.03.1964	Жен	Минск
20	3156269041284693	Павел Фёдорович Беляев	14.02.2021 22:32	26.05.1995	Муж	Могилев
21	9214271899143604	Наталья Владиславовна Васильева	15.02.2021 1:31	15.06.1986	Жен	Минск
43	8059344190636979	Анна Аркадьевна Богданова	17.02.2021 14:32	28.09.1985	Жен	Брест
22	1956957033294151	Александр Альбертович Кудрявцев	15.02.2021 3:04	21.06.1974	Муж	Витебск
23	4024012807989394	Александра Павловна Ковалёва	15.02.2021 7:45	18.12.2004	Жен	Гродно
63	4134042715671204	Нина Витальевна Андреева	20.02.2021 7:01	18.06.1984	Жен	Гомель
24	5509409871870217	Анатолий Фёдорович Попов	15.02.2021 10:43	18.01.1996	Муж	Минск
25	3956879588023915	Лилия Викторовна Фёдорова	15.02.2021 12:06	23.03.1953	Жен	Минск
26	8943008520313854	Алексей Юрьевич Семёнов	15.02.2021 13:05	01.12.1977	Муж	Гомель
27	6289015118528312	Паулина Романовна Макарова	15.02.2021 14:39	22.05.1979	Жен	Брест
92	4534129507738435	Фёдор Никольевич Козлов	24.02.2021 2:13	10.10.1977	Муж	Минск
28	1987786552676420	Лариса Андреевна Новикова	15.02.2021 21:49	24.05.1980	Жен	Минск
29	1476488806460044	Олег Алексеевич Кузьмин	15.02.2021 22:46	29.10.1976	Муж	Брест
121	5338270860168787	Мария Витальевна Андреева	27.02.2021 10:23	01.01.2004	Жен	Гродно
30	8206620523824496	Герман Станиславович Беляев	16.02.2021 4:42	04.02.1981	Муж	Минск
31	8293069321365611	Лариса Валентиновна Беляева	16.02.2021 5:34	13.01.2003	Жен	Барановичи
144	6573279599208164	Валерий Михаилович Куликов	01.03.2021 20:05	27.05.1961	Муж	Брест
32	4447892535696922	Зоя Аркадьевна Ковалёва	16.02.2021 7:52	20.10.1968	Жен	Минск
81	6771310462543136	Виктория Андреевна Голубева	23.02.2021 0:40	22.11.1972	Жен	Брест
34	9202798540793412	Василий Эдуардович Белов	16.02.2021 16:18	10.12.1955	Муж	Гомель
35	9368006689177618	Станислав Юрьевич Комаров	16.02.2021 17:26	10.02.1991	Муж	Брест
36	4083794053695368	Зинаида Валентиновна Соколова	16.02.2021 18:34	19.06.1974	Жен	Гомель
37	3019050315764827	Ираида Альбертовна Белова	16.02.2021 20:41	29.06.1993	Жен	Минск
54	7020991472627239	Антонина Фёдоровна Петрова	19.02.2021 0:07	13.08.1985	Жен	Минск
38	7768461420246521	Наталья Васильевна Соловьёва	17.02.2021 0:47	13.02.2003	Жен	Гродно
39	6690965218344350	Людмила Павловна Комарова	17.02.2021 4:39	23.11.1999	Жен	Минск
85	4295504210091324	Виктория Никольевна Орлова	23.02.2021 4:34	29.04.1977	Жен	Гродно
40	7888359724760104	Людмила Эдуардовна Соловьёва	17.02.2021 7:55	22.05.1988	Жен	Брест
41	4988358069552208	Андрей Валентинович Голубев	17.02.2021 8:27	07.09.1978	Муж	Могилев
126	5512089884981741	Лилия Анатольевна Павлова	28.02.2021 0:08	03.09.1984	Жен	Минск
42	7544966485058521	Геннадий Дмитрьевич Белов	17.02.2021 11:18	31.10.1975	Муж	Минск
44	3912657743105747	Алевтина Юрьевна Гусева	17.02.2021 15:40	01.03.1965	Жен	Минск
45	8836215159739206	Пётр Георгьевич Орлов	17.02.2021 18:00	19.10.1984	Муж	Гомель
98	8007589167632810	Евгений Алексеевич Новиков	24.02.2021 23:04	15.09.1999	Муж	Минск
46	6348774797952285	Елена Валентиновна Макарова	17.02.2021 20:47	08.02.1988	Жен	Минск
47	7490451653827301	Карина Витальевна Волкова	18.02.2021 3:39	15.02.1985	Жен	Минск
48	3239594149622972	Михаил Алексеевич Кудрявцев	18.02.2021 8:22	07.10.1991	Муж	Минск
49	8759613927100218	Анатолий Вячеславович Зайцев	18.02.2021 10:53	13.02.1975	Муж	Минск
57	8107434786071782	Александра Михаиловна Петрова	19.02.2021 11:42	19.10.2004	Жен	Минск
50	7067877489475295	Елена Андреевна Белова	18.02.2021 13:25	27.03.1987	Жен	Минск
51	6031756943916275	Аркадий Витальевич Белов	18.02.2021 16:30	06.08.1984	Муж	Минск
105	7600833107365326	Георгий Георгьевич Орлов	25.02.2021 21:02	12.10.1943	Муж	Витебск
